parent_name,name,level,code,type
,Раздел I. Внеоборотные активы,0,1,active
Раздел I. Внеоборотные активы,Основные средства,1,1,active
Раздел I. Внеоборотные активы,Доходные вложения в материальные ценности,1,3,active
Раздел I. Внеоборотные активы,Нематериальные активы,1,4,active
,Раздел III. Затраты на производство,0,3,active
Раздел III. Затраты на производство,Общехозяйственные расходы,1,26,active
Общехозяйственные расходы,Коммунальные платежи,2,1,active
,Раздел V. Денежные средства,0,5,active
Раздел V. Денежные средства,Касса,1,50,active
Касса,Наличные денежные средства,2,1,active
Касса,Иностранная валюта,2,2,active
Раздел V. Денежные средства,Расчетные счета,1,51,active
Расчетные счета,Банковские карты,2,1,active
Раздел V. Денежные средства,Валютные счета,1,52,active
Раздел V. Денежные средства,Специальные счета в банках,1,55,active
Специальные счета в банках,Брокерские счета,2,1,active
Специальные счета в банках,Депозитные счета,2,3,active
Раздел V. Денежные средства,Финансовые вложения,1,58,active
Финансовые вложения,Акции,2,1,active
Финансовые вложения,Облигации,2,2,active
Облигации,Стоимость облигации без учета нкд,3,1,active
Облигации,НКД уплаченный,3,2,active
,Раздел VI. Расчеты,0,6,active_passive
Раздел VI. Расчеты,Расчеты с поставщиками и подрядчиками,1,60,active_passive
Раздел VI. Расчеты,Расчеты с покупателями и заказчиками,1,62,active_passive
Расчеты с покупателями и заказчиками,Расчеты с работодателем,2,1,active_passive
Расчеты с покупателями и заказчиками,Расчеты с арендаторами,2,2,active_passive
Раздел VI. Расчеты,Расчеты по долгосрочным кредитам и займам,1,67,passive
Расчеты по долгосрочным кредитам и займам,Сумма кредита,2,1,passive
Расчеты по долгосрочным кредитам и займам,Начисленные проценты по кредиту,2,2,passive
Раздел VI. Расчеты,Расчеты по налогам и сборам,1,68,passive
Расчеты по налогам и сборам,Единый налоговый счет,2,90,passive
Единый налоговый счет,Налог на доходы физических лиц,3,1,passive
Единый налоговый счет,Транспортный налог,3,7,passive
Единый налоговый счет,Налог на имущество,3,8,passive
Единый налоговый счет,Налог при упрощенной системе налогообложения,3,12,passive
Раздел VI. Расчеты,Расчеты с разными дебиторами и кредиторами,1,76,active_passive
Расчеты с разными дебиторами и кредиторами,Расчеты по ндфл чз третьих лиц,2,1,active_passive
Расчеты с разными дебиторами и кредиторами,Расчеты по причитающимся дивидендам и другим доходам,2,3,active
Расчеты с разными дебиторами и кредиторами,"Накопленный купонный доход, начисленный за время владения облигацией",2,4,active
Расчеты с разными дебиторами и кредиторами,Вознаграждение брокера,2,5,passive
,Раздел VII. Капитал,0,7,passive
Раздел VII. Капитал,Уставный капитал,1,80,passive
Раздел VII. Капитал,Добавочный капитал,1,83,passive
Раздел VII. Капитал,Нераспределенная прибыль (непокрытый убыток),1,84,passive
Нераспределенная прибыль (непокрытый убыток),Прибыли и убытки прошлых лет,2,1,passive
,Раздел VIII. Финансовые результаты,0,8,passive
Раздел VIII. Финансовые результаты,Продажи,1,90,passive
Продажи,Выручка,2,1,passive
Раздел VIII. Финансовые результаты,Прочие доходы и расходы,1,91,passive
Прочие доходы и расходы,Прочие доходы,2,1,passive
Прочие доходы и расходы,Прочие расходы,2,2,passive
Прочие доходы и расходы,Сальдо прочих доходов и расходов,2,9,passive
Раздел VIII. Финансовые результаты,Прибыли и убытки,1,99,passive
